publicacion_id,sku,titulo,marca,modelo,origen_modelo,variantes_en_familia
MLA2067297019,1,Moneda Argentina 1/2 Real 1815,Genérica,CJ# 17,referencia,1
MLA2067297021,257,Moneda Alemania 50 Pfennig 1921,Genérica,KM# 27,referencia,1
MLA2067297025,1204,Moneda Reino Unido 5 Pence 2014,Genérica,KM# 1109d,referencia,1
MLA2067297027,991,Moneda Reino Unido 1 Crown 1965,Genérica,KM# 910,referencia,2
MLA2067297029,848,Moneda Marruecos 1 Dirham 1987,Genérica,Y# 88,referencia,1
MLA2067297037,1309,Moneda Perú 1 Centavo 1946,Genérica,KM# 211a,referencia,1
MLA2067297039,963,Moneda Italia 10 Centesimi 1923,Genérica,KM# 60,referencia,1
MLA2067297041,761,Moneda Argentina 10 Centavos 1931,Genérica,CJ# 119,referencia,3
MLA2067297051,647,Moneda Argentina 2 Centavos 1948,Genérica,CJ# 182,referencia,2
MLA2067297053,651,Moneda Argentina 2 Centavos 1949,Genérica,CJ# 183,referencia,2
MLA2067297055,1288,Moneda Canadá 10 Cents 2021,Genérica,10 Cents,valor facial (referencias distintas),2
MLA2067297059,822,Moneda Marruecos 4 Falus 1871,Genérica,KM# 166.1,referencia,1
MLA2067297061,1146,Moneda China 5 Fen 1982,Genérica,KM# 3,referencia,1
MLA2067297063,1158,Moneda Austria 50 Schilling 1963,Genérica,KM# 2894,referencia,1
MLA2067297065,329,Moneda Portugal 50 Centavos 1929,Genérica,50 Centavos,valor facial (referencias distintas),2
MLA2067297073,855,Moneda Turquía Kurus 2022,Genérica,Kurus,valor facial (referencias distintas),4
MLA2067297075,731,Moneda Chile 10 Pesos 1958,Genérica,KM# 181,referencia,1
MLA2067297079,1154,Moneda Francia 5 Francos 1837,Genérica,KM# 749,referencia,1
MLA2067297085,1242,Moneda Isla De Pascua 1 Peso Moai 2021,Genérica,1 Peso Moai,valor facial (sin referencia),1
MLA2067297087,928,Moneda Francia 10 Centimes 1929,Genérica,KM# 866,referencia,1
MLA2067297091,836,Moneda Indias Orientales Neerlandesas Cent 1901,Genérica,KM# 307.1,referencia,1
MLA2067297093,732,Moneda Uruguay 5 Pesos 1975,Genérica,KM# 65,referencia,1
MLA2067297095,988,Moneda Reino Unido 25 New Pence 1977,Genérica,KM# 920,referencia,2
MLA2067297105,1086,Moneda Uruguay 1 Peso 1917,Genérica,KM# 23,referencia,1
MLA2067297111,722,Moneda Chile 2 Centésimos 1968,Genérica,KM# 193,referencia,1
MLA2067297113,66,Moneda Token Porsche 2001,Genérica,Porsche,valor facial (sin referencia),1
MLA2067297115,330,Moneda Portugal 50 Centavos 1929,Genérica,50 Centavos,valor facial (referencias distintas),2
